,tract,year,median_income
0,1001020100,2016,77813.0
1,1001020100,2017,55891.0
2,1001020100,2018,54664.5
3,1001020100,2019,57351.5
4,1001020100,2020,54933.0
5,1001020100,2021,48335.833333333336
6,1001020100,2022,41738.666666666664
7,1001020200,2016,35141.5
8,1001020200,2017,36222.5
9,1001020200,2018,38388.0
10,1001020200,2019,38771.0
11,1001020200,2020,44985.5
12,1001020200,2021,43729.333333333336
13,1001020200,2022,42473.166666666664
14,1001020300,2016,41217.0
15,1001020300,2017,40694.0
16,1001020300,2018,42428.5
17,1001020300,2019,43916.0
18,1001020300,2020,48817.0
19,1001020300,2021,51694.833333333336
20,1001020300,2022,54572.666666666664
21,1001020400,2016,57450.5
22,1001020400,2017,57031.5
23,1001020400,2018,54187.5
24,1001020400,2019,58674.5
25,1001020400,2020,63347.0
26,1001020400,2021,59497.666666666664
27,1001020400,2022,55648.333333333336
28,1001020500,2016,51799.0
29,1001020500,2017,67537.0
30,1001020500,2018,72313.0
31,1001020500,2019,62416.0
32,1001020500,2020,59383.875
33,1001020500,2021,56351.75
34,1001020500,2022,53319.625
35,1001020600,2016,50287.5
36,1001020600,2017,48975.0
37,1001020600,2018,48140.0
38,1001020600,2019,44695.5
39,1001020600,2020,28750.0
40,1001020600,2021,33950.166666666664
41,1001020600,2022,39150.333333333336
42,1001020700,2016,44350.5
43,1001020700,2017,41124.0
44,1001020700,2018,45416.5
45,1001020700,2019,49040.0
46,1001020700,2020,44578.0
47,1001020700,2021,54452.5
48,1001020700,2022,64327.0
49,1001020801,2016,74201.5
50,1001020801,2017,81889.5
51,1001020801,2018,79677.5
52,1001020801,2019,74906.5
53,1001020801,2020,85648.0
54,1001020801,2021,74973.66666666667
55,1001020801,2022,64299.33333333333
56,1001020802,2016,53625.0
57,1001020802,2017,60701.5
58,1001020802,2018,75815.0
59,1001020802,2019,68737.0
60,1001020802,2020,63079.5
61,1001020802,2021,57422.0
62,1001020802,2022,51764.5
63,1001020900,2016,46107.0
64,1001020900,2017,46669.5
65,1001020900,2018,79375.0
66,1001020900,2019,50076.0
67,1001020900,2020,49865.125
68,1001020900,2021,49654.25
69,1001020900,2022,49443.375
70,1001021000,2016,49232.5
71,1001021000,2017,47102.0
72,1001021000,2018,52830.0
73,1001021000,2019,47361.0
74,1001021000,2020,39722.0
75,1001021000,2021,40452.0
76,1001021000,2022,41182.0
77,1001021100,2016,41912.0
78,1001021100,2017,32411.0
79,1001021100,2018,26272.0
80,1001021100,2019,37634.0
81,1001021100,2020,27821.0
82,1001021100,2021,34919.0
83,1001021100,2022,42017.0
84,1003010100,2016,49115.0
85,1003010100,2017,46293.0
86,1003010100,2018,44205.0
87,1003010100,2019,44592.0
88,1003010100,2020,42963.0
89,1003010100,2021,39646.0
90,1003010100,2022,36329.0
91,1003010200,2016,33012.0
92,1003010200,2017,33713.0
93,1003010200,2018,34678.0
94,1003010200,2019,42105.5
95,1003010200,2020,43541.5
96,1003010200,2021,42615.666666666664
97,1003010200,2022,41689.833333333336
98,1003010300,2016,40764.0
99,1003010300,2017,39955.0
100,1003010300,2018,51625.0
101,1003010300,2019,53750.0
102,1003010300,2020,82647.0
103,1003010300,2021,72181.33333333333
104,1003010300,2022,61715.66666666667
105,1003010400,2016,51250.0
106,1003010400,2017,51858.0
107,1003010400,2018,54438.0
108,1003010400,2019,54776.0
109,1003010400,2020,45313.0
110,1003010400,2021,47112.666666666664
111,1003010400,2022,48912.333333333336
112,1003010500,2016,50712.0
113,1003010500,2017,39538.0
114,1003010500,2018,51884.5
115,1003010500,2019,60208.5
116,1003010500,2020,61232.5
117,1003010500,2021,46292.666666666664
118,1003010500,2022,31352.833333333332
119,1003010600,2016,16413.0
120,1003010600,2017,14911.0
121,1003010600,2018,28739.0
122,1003010600,2019,32973.0
123,1003010600,2020,32000.0
124,1003010600,2021,44903.166666666664
125,1003010600,2022,57806.33333333333
126,1003010701,2016,70709.5
127,1003010701,2017,72275.0
128,1003010701,2018,79721.5
129,1003010701,2019,66269.5
130,1003010701,2020,71939.0
131,1003010701,2021,77608.5
132,1003010701,2022,83278.0
133,1003010703,2016,88947.5
134,1003010703,2017,89162.5
135,1003010703,2018,88316.5
136,1003010703,2019,92283.5
137,1003010703,2020,86179.75
138,1003010703,2021,80076.0
139,1003010703,2022,73972.25
140,1003010704,2016,67868.5
141,1003010704,2017,72317.0
142,1003010704,2018,73590.5
143,1003010704,2019,74283.0
144,1003010704,2020,79797.0
145,1003010704,2021,69083.33333333333
146,1003010704,2022,58369.66666666667
147,1003010705,2016,47656.0
148,1003010705,2017,55525.0
149,1003010705,2018,55407.0
150,1003010705,2019,68125.0
151,1003010705,2020,63915.5
152,1003010705,2021,59706.0
153,1003010705,2022,55496.5
154,1003010800,2016,51287.0
155,1003010800,2017,45694.0
156,1003010800,2018,45854.0
157,1003010800,2019,45307.0
158,1003010800,2020,54890.0
159,1003010800,2021,52468.333333333336
160,1003010800,2022,50046.666666666664
161,1003010903,2016,47625.0
162,1003010903,2017,48750.0
163,1003010903,2018,53889.0
164,1003010903,2019,54592.0
165,1003010903,2020,51364.0
166,1003010903,2021,49959.666666666664
167,1003010903,2022,48555.333333333336
168,1003010904,2016,47151.0
169,1003010904,2017,53670.0
170,1003010904,2018,54539.0
171,1003010904,2019,57109.0
172,1003010904,2020,70230.0
173,1003010904,2021,60778.333333333336
174,1003010904,2022,51326.66666666667
175,1003010905,2016,41875.0
176,1003010905,2017,45043.0
177,1003010905,2018,47636.0
178,1003010905,2019,52059.0
179,1003010905,2020,50200.5
180,1003010905,2021,48342.0
181,1003010905,2022,46483.5
182,1003010906,2016,44625.0
183,1003010906,2017,47589.0
184,1003010906,2018,44531.0
185,1003010906,2019,46234.0
186,1003010906,2020,47337.0
187,1003010906,2021,42894.166666666664
188,1003010906,2022,38451.333333333336
189,1003011000,2016,34008.5
190,1003011000,2017,34467.5
191,1003011000,2018,38060.5
192,1003011000,2019,42552.0
193,1003011000,2020,43808.5
194,1003011000,2021,51031.666666666664
195,1003011000,2022,58254.833333333336
196,1003011101,2016,65478.0
197,1003011101,2017,73507.0
198,1003011101,2018,77639.0
199,1003011101,2019,91058.0
200,1003011101,2020,82119.625
201,1003011101,2021,73181.25
202,1003011101,2022,64242.875
203,1003011102,2016,55304.5
204,1003011102,2017,56567.0
205,1003011102,2018,64658.0
